017_04_21_031_21|わかりました……士道
609_21_21_147_21|大丈夫です。わたしは必ず辿り着きます。　わたしには、やらなければならないことがありますから
609_21_21_148_21|前に……進むために……！！　ぐっ！
609_21_21_155_21|……聞こえますか、士道。　もうすぐ、鞠奈と接触できるはずです
609_21_21_156_21|実は、鞠奈を確実に消滅させるための方法はあります
609_21_21_157_21|わたしが鞠奈に干渉し――わたしがこの世界で得たデータ……　それを共有することで、オーバーフローを引き起こします
609_21_21_158_21|この世界を吸収しきるより早く、　わたしと鞠奈は消滅するでしょう
609_21_21_159_21|これがもっとも確実な方法です。　みなさんが……士道が、生きるための
609_21_21_160_21|――士道、せっかく守ってもらったのに、　勝手ばかり言ってすみません。　でも、わたしは……自分よりもあなたがたい――
609_22_21_001_21|……本当に、ありがとう。　あなたと日々を過ごせて……よかった
609_22_21_002_21|…………
609_22_21_003_21|……鞠奈、聞こえますか？
609_22_21_004_21|…………
609_22_21_005_21|届かない……か。　でも……言います。　鞠奈、あなたは……馬鹿です
609_22_21_006_21|あなたを評価するのは、あなただけではありません。　だから、自分一人で決めつけた価値観なんて意味がないんです
609_22_21_007_21|……でも、わたしには少し、わかります。　あなたの気持ちが……
609_22_21_008_21|役割のために造られたもの。　役割を果たせなければ……存在する意味がない。　そう考えてしまうのもわかります
609_22_21_009_21|でも……そうではないんです。　わたしは――わたしたちは、ここにいて大丈夫だって
609_22_21_010_21|士道は、そう……教えてくれました。　『愛とは何か』……　その答えは、結局わかりませんでしたけど
609_22_21_011_21|このデータを……いえ、思い出を、　鞠奈、あなたに届けます。　この世界で日々を過ごしたから得られた――大切な思い出を
609_22_21_012_21|士道は、わたしとデートをしてくれました……
609_22_21_013_21|みんなは、わたしを受け入れてくれました……
609_22_21_014_21|『楽しい』『嬉しい』『悲しい』……　全部、士道のおかげで知ることができました
609_22_21_016_21|鞠奈……　届きますか……この思い出が……。　わたしの……この世界で生まれた感情が……
609_22_21_017_21|ああ……そうですね。届いて……　鞠奈の記憶も……わたしに……
609_22_21_018_21|鞠奈……聞こえていますか？　士道はきっと、わたしたちのために悲しんでくれます。　士道にとっては……人間も、精霊も、あなたもわたしも――
609_22_21_019_21|等しく、大切な存在なのです……　だから――ごめんなさい、鞠奈
609_22_21_020_21|わたしがしていることは……とても酷いことです。　でも、わたしたちにはある意味ふさわしい結末かもしれません。　残る者のことを軽んじて、行動してしまうんですから
609_22_21_021_21|やっぱり、あなたとわたしは似ているのかもしれませんね。　結局士道を、悲しませる結果しか選択できないのですから
609_22_21_022_21|ああ、そうだった……それが答えだったんですね。　わたしはもう、知っていた――『愛』がなんなのかを
609_22_21_023_21|士道を想うと、胸が温かくなる。　士道を大切にしたい、されたい。　ずっと一緒に、いたい
609_22_21_024_21|この気持ちが――愛
609_23_21_001_21|ふふふ……　本当に……士道らしいですね
609_23_21_002_21|でも、ごめんなさい。　わたしは、鞠奈と一緒に……消えなければなりません
609_23_21_003_21|もう駄目なんです。〈フラクシナス〉の管理権限を　完全にリセットするには鞠奈だけが消えても無理ですから
609_23_21_004_21|……士道が来てくれて、よかった。　おかげで、お別れが言えるんです
609_23_21_007_21|士道、間違わないでください。　……士道にとって大事なのは、わたしたちではないはずです
609_23_21_008_21|士道、お願いがあります。いいですか？
609_23_21_009_21|駄目ですよ、士道。　最後まで、言わせてください
609_23_21_010_21|このままでは〈フラクシナス〉が地上に落下します。　それを止めるためには、わたしたちが消えるしかありません
609_23_21_011_21|士道……鞠奈を消してもらえませんでしょうか。　――わたしと、一緒に
609_23_21_012_21|……士道。わたしは士道の優しさを知っています。　たとえ、一人でも犠牲が出る選択をしたくないということも。　でも、今は……選択する勇気を持ってください
609_23_21_013_21|お願いします、士道。　わたしは、この世界で――　天宮市で過ごして来た日々を、とても大切に思っています
609_23_21_014_21|だから、〈フラクシナス〉の落下を止めたい。　あなたとともに過ごした天宮市を守りたいんです
609_23_21_016_21|わたしは〈フラクシナス〉のＡＩでした。　だから〈フラクシナス〉はわたし自身も同然です
609_23_21_017_21|わたしと鞠奈を……人殺しにしないでください。　たとえ、兵器として造られたとしても、世界を守るために――　あなたが正しい道を進むお手伝いをしたいから
609_23_21_018_21|士道！　あなたが守らなければならないものは、なんですか？
609_23_21_025_21|次は、わたしの番ですね
609_23_21_026_21|いいえ、そんなことはありません。　たくさんのことを、してもらいました。　たくさん、一緒に過ごして……たくさんのものを、もらいました
609_23_21_027_21|士道は、わたしとの約束を守ってくれました
609_23_21_028_21|はい。士道はわたしに、愛を教えてくれました
609_23_21_029_21|いいえ。答えは――出ました。　士道に……もらいました
609_23_21_030_21|『愛とは何か』……みなさんが答えに窮した理由が、今なら　わかります。それは、言葉にするにはとても難しいものです。　――ですから、これだけは伝えておきます
609_23_21_031_21|或守鞠亜は五河士道を――愛しています
609_23_21_032_21|ん……っ
609_23_21_033_21|………………
609_23_21_034_21|……デートの最後は、お別れのキスですよ。　これで、わたしのわがままも終わりです
609_23_21_035_21|そうやって、無理なことがわかっていても必死な　士道は格好良いですね
609_23_21_036_21|でも、嬉しいです。士道がそう言ってくれたから、　最後にわたしはこんなにも幸せな気持ちになれました
609_23_21_037_21|ありがとう、士道。　あなたはとても、優しい人でした
609_24_21_034_21|最近、わたしは少しおかしくなるときがあります。　士道といるときに、なぜか胸の鼓動が高鳴って、　うまく話せないことがあったりします
609_24_21_035_21|これは、最初に書くようなことではありませんでしたね。　では、改めて書き進めていきます
609_24_21_036_21|誰がこのメッセージを見るかはわかりません。　しかし、わたしのことを残しておきたい、　そう考えたのがはじまりです
609_24_21_037_21|わたしは、気付いたらこの世界に存在していました。　『愛を知りたい』という目的のみを持って、　自分が何者かもわからない状態で
609_24_21_038_21|わたしは、愛を知るために、様々なシチュエーションを　作成し、士道たちの反応を観察しました。　状況をリセットし、繰り返し、様々な可能性を再現しました
609_24_21_039_21|士道とみなさんの、愛の形成を観察するためです。　ですが、わたしは愛とは何かを理解することはできなかった
609_24_21_040_21|ですが、わたしの中で変わった感情がありました。　それは、こんなにも愛を集める五河士道とは、　どういった存在なのかということ
609_24_21_041_21|そして結局、それを理解するために、　わたし自身が、士道とデートすることにしました
609_24_21_042_21|……不思議な体験でした。　デートをして、士道と共に日常を過ごす……　そうするうちに、わたしは正常に動作しないことが増えました
609_24_21_043_21|士道といると、胸が高鳴ったり、顔が熱くなったり。　気づけば士道を目線で追ってしまう。　いつの間にか、士道を見つめる機会が多くなりました
609_24_21_044_21|そのうちに、一緒にいない時でも、　士道のことを考えるだけで、同じことが起こるようになりました
609_24_21_045_21|……でも、わたしはそれが嫌ではなかった。　むしろ、嬉しかったのです。　胸が苦しいのに、とても満たされている感覚が
609_24_21_046_21|繰り返す時間の中で学んだ、色々な感情。　嬉しさも、楽しさも、悲しさも……それは士道と、　みなさんに教わったものです
609_24_21_047_21|それから友達ができました。　みなさんといると、楽しい……そう考えるようになりました
609_24_21_048_21|士道のために、みなさんのために……何かできることはないか。　それが、みなさんを外に――元の世界に帰すことです。　明確な方法は、まだわかっていません
609_24_21_049_21|けれど、鍵はあります。　わたしが最初から抱いていた疑問、『愛とは何か』。　それがわかれば、きっと……
609_24_21_050_21|それが、今生の別れになってしまうとしても、　わたしは、みなさんを助けたい。　みなさんの喜ぶ顔が見たい……そう考え、決めました
609_24_21_051_21|だから、明日は運命の日です。　わたしは士道と最後のデートをする予定です。　そして最後には――もちろん、あれです
609_24_21_052_21|そうすればきっと、答えが出ます。　でも、もしかしたら、答えはとっくに出ているのかもしれません。　わたしが士道を想う気持ち。これが――
609_24_21_053_21|……ここまで。　以降、必要があれば追記します
609_24_21_054_21|追記
609_24_21_055_21|わたしは、近いうちに消滅するでしょう。　だから、これを残すことにしました
609_24_21_056_21|夜刀神十香。　十香の明るさはわたしも元気をわけてもらえました。　食欲もすごいですが、わたしはそこが可愛いと感じます
609_24_21_057_21|鳶一折紙。　普段はクールなのに、恋に関しては積極的な折紙。　わたしが憧れたのは、その一途さでした
609_24_21_058_21|四糸乃。　四糸乃もよしのんも、とても優しくいろいろ教えてくれました。　常に二人というのも、楽しそうで羨ましいです
609_24_21_059_21|時崎狂三。　ミステリアスな女性と呼べるのは、彼女だけでした。　まさに掴みどころがありませんでしたね
609_24_21_060_21|五河琴里。　大人なのか、子供なのか……少しわからない少女でした。　でも、一番いろいろなことを教えてもらい、お世話になりました
609_24_21_061_21|八舞耶倶矢。　独特な喋り方……中二病という格好良い喋り方でした。　言葉とは裏腹に飾らない本心が可愛らしい方でした
609_24_21_062_21|八舞夕弦。　彼女も少し変わった喋り方をしていました。　でも冷静ですが穏やかで気が利く、頼りになる方でした
609_24_21_063_21|誘宵美九。　アイドルというだけあって、魅力的な方でした。常に　堂々と自分のペースをたもっており、感心してしまうほどです
609_24_21_064_21|みなさんと過ごして、わたしは様々なことを教わりました　それぞれの愛の形も、個性も……全て、大好きです
609_24_21_065_21|わたしがみなさんをこの世界に呼び、閉じ込めてしまっていた。　ずっと謝りたかったけれど、謝れていませんでした。　ごめんなさい。けれど、共に過ごした時間は、とても楽しかった
609_24_21_066_21|だから――ありがとう
609_24_21_067_21|そして士道。あなたと過ごした時間は、　あなたが覚えていないものも、すべて、わたしの宝物です。　あなたのおかげで……わたしは探しものを見つけました
609_24_21_068_21|残念ながら、このメッセージを送ることはできないようです。　仕方ありませんね。でも誰にも届かなかったとしても、同じです。　だってこれは、わたしの本当の気持ちですから
609_24_21_069_21|最後に一つだけ。　……ありがとう、士道
609_24_21_070_21|…………或守、鞠亜
609_24_21_077_21|……士道、おはようございます
609_24_21_078_21|はい。あなたの鞠亜です
609_24_21_079_21|消滅する寸前……わたしが残していたメッセージに、　わたしの人格と記憶を鞠奈が移してくれたようです
609_24_21_080_21|士道……？　どうかしましたか？　もしかして、わたしのせいでしょうか……
609_24_21_081_21|……はい。　わたしも、もう一度、士道に会えて　とても嬉しいです
609_24_21_082_21|わたしは現在、〈フラクシナス〉と完全に切り離されています。　少なくとも、機能が完全に復旧するまでは戻ることができません
609_24_21_083_21|そのうち〈フラクシナス〉に戻ることになりますが、　それまでの間、士道の携帯電話を間借りする予定です。　その代わりと言ってはなんですが、日常生活をサポートします
609_24_21_084_21|はい。たとえば、必要な情報をピックアップしたり、　ＧＰＳでのナビゲートをしたりです
609_24_21_085_21|必要とあれば、恥ずかしいポエムを琴里に転送したり、　夜中に書いたメールの添削をしたり、　ついつい試しに自撮りした写真を加工したりもできます
609_24_21_086_21|冗談です。……半分くらいは、ですが
609_24_21_087_21|ふふ……そうかもしれません
609_24_21_088_21|はい。わたしはそういう女の子です
609_24_21_089_21|でも、士道。覚えておいてください。　これからも、わたしはあなたを助けます。　――〈フラクシナス〉を通して
609_24_21_090_21|あなたがわたしを助けてくれたように、　士道が手を引いてくれるのを待っている人が、　きっといると思うから
609_24_21_091_21|わたしは全身全霊を以て士道を助けることを誓います。　ですから、士道は絶対、諦めないでください。　絶対に……何度だって立ち上がってください
609_24_21_092_21|ふふ……それでこそ、わたしの大好きな士道です
609_24_21_093_21|……あ。　一つ、大事なことを忘れていました
609_24_21_094_21|士道――これからも、よろしくお願いします
800_00_00_001_21|この世界の生活で……五河士道から、　愛の片鱗を見つけることはできませんでした
800_00_00_002_21|このままでは、ただ怠惰な日常が続いていくだけ……　それでは、意味がありません
800_00_00_003_21|やはりもう一度、やり直す必要があるのでしょうか
800_00_00_004_21|……五河士道、　あなたはわたしに愛を教えてくれないのですか？
901_01_01_010_21|おはようございます、士道。　朝食はトーストとハムエッグ、付け合わせのサラダですよ
901_01_01_012_21|いいえ、大丈夫です。大したことはしていませんから。　それに、士道は一家の主のようなものなのですよ？　たまにはどっしり構えていてください
901_01_01_013_21|はい。そう言ってもらえるだけで嬉しいです。　さぁ、士道も座ってください
901_01_01_014_21|ん？　どうかしましたか、士道？
901_01_01_015_21|はい、わたしの手作りです。　きっと、士道も気に入ると思います。どうぞ
901_01_01_016_21|そうでしょうか？　自分では、よくわかりません。　でも、本当にそうだとしたら、わたしはようやく士道と結婚する　資格を得られた、ということでしょうか？
901_01_01_018_21|ふふ……それは残念ですね
901_01_01_019_21|……難しい顔をしていますね。　どうかしましたか？
901_01_01_020_21|考えごと、ですか。あの……士道、もしかして……
901_01_01_024_21|行ってらっしゃい、琴里
901_01_01_026_21|士道はわたしがここにいることに、何の疑問もないのですね
901_01_01_027_21|わたしが最後にあなたと話したのは、　いつなのか覚えていますか？
901_01_01_028_21|やはり、士道は覚えているのですね。　わたしと過ごした、本当の時間を
901_01_01_029_21|そうですか。ならば、これは明らかに異常な事態といえます
901_01_01_030_21|……はい。この世界はなんらかの改竄が行われている。　現実といっていいかすら、わかりません
901_01_01_031_21|――士道、忘れてはいませんか？　わたしは〈フラクシナス〉の管理ＡＩです。　本来データのみの存在。ですが、わたしは[ここにいます*・・・・・・]
901_01_01_032_21|いいえ、それはありえません。　あの時〈フラクシナス〉が受けたダメージにより　『マイ・リトル・シドー・２』は完全に機能を停止しました
901_01_01_033_21|はい。実は先程、琴里にわたしがここにいるのはおかしくないか　と聞いてみたのですが、琴里はこの状況がさも当然だというよう　に、鞠亜は先週からずっと一緒に住んでるじゃん、と答えました
901_01_01_034_21|そういうことです。原因や意図は不明ですが、わたしと士道以外、　なんらかの方法で記憶の改竄を受けていることは確かです。　もしかすると、何らかの攻撃の可能性も考えられます
901_01_01_035_21|そもそも精霊の力や、それに準ずる技術には、未知の部分が　多いのです。　それが可能な存在がいないとは断定できません
901_01_01_036_21|確認できていませんが、恐らくは。　霊力を保有している士道でさえ、微かに影響を受けているよう　ですし。わたしには、一切影響がないようですが……
901_01_01_037_21|おそらく。もちろん、これも推測に過ぎませんが
901_01_01_038_21|わたしの記録では、この世界は唐突に発生したようでした。　もし士道に改竄前の記憶があるなら、発生したときのことを　教えてもらえませんか？
901_01_01_039_21|やはり、そう簡単にはいかないようですね。　現状ではわからないことが多すぎます。　少し、様子を見た方がいいかもしれません
901_01_01_041_21|……はい、当然です。わたしは士道の鞠亜ですから
901_01_01_042_21|何故ですか？　士道はそう言われることに何かやましいことが　あるのですか？
901_01_01_043_21|ふふ……わかっています。これはわたしなりの冗談です
901_01_01_044_21|もしや……今頃気がついたのですか？
901_01_01_045_21|……ッ！？　本当、ですか？
901_01_01_046_21|そうですか。ありがとうございます
901_01_01_047_21|はい。必要ないと考えていましたから。　でも、今は着ることができて嬉しいです
901_01_01_048_21|士道は女の子の扱いが上手いようで下手ですね
901_01_01_049_21|いいえ、勘違いさせるような言動は謹んだ方が良いのでは？
901_01_01_050_21|それなら、もっと勉強しなくてはなりませんね
901_01_01_051_21|どうやら、そのようです。　わたしは先週から、五河家にホームステイしてきた、　ハーフの美少女ということになってるようです
901_01_01_052_21|はい。以前もそうしていましたし、妥当かと
901_01_01_053_21|何か問題でも？
901_01_01_054_21|マンションだとは思いますが……電脳空間とは事情が異なるため、　狂三と美九に関しては断言できません
901_01_01_055_21|今のわたしには、〈フラクシナス〉やこの世界にアクセスする　権限がありません。言ってしまえば、ただの人間です
901_01_01_056_21|はい。わたしの方で確認できたことは士道にお伝えします
901_01_01_057_21|少し、話し過ぎたでしょうか。状況を確認するためにも、　学校へ早く向かった方が良いかもしれませんね
901_01_01_058_21|はい！
901_02_01_001_21|どうかしましたか、士道？
901_02_01_002_21|あ……そうですね……少し、浮かれすぎていたかもしれません。　今の状況を考えれば、緊張感が足りていない証拠ですね。　すみません、士道……
901_02_01_003_21|……本当、ですか？
901_02_01_004_21|士道なら、そう言ってくれると思っていました
901_02_01_005_21|はい。実際に着てみて、ようやくわたしも来禅高校の本当の　生徒になれた気がします
901_02_01_006_21|だから――少し、失敗してしまいました
901_02_01_007_21|バレましたか。士道は鋭いですね。　もしかしたら、鞠奈の影響かもしれません
901_02_01_008_21|士道？　急に立ち止まって、どうかしましたか？
901_02_01_027_21|――それに答えられるのは、本人だけではないでしょうか
901_02_01_028_21|ほぉう、[いたのか*・・・・]ですか……。　人を放り出して彼女といちゃいちゃしていたのは　どこの誰ですか？
901_02_01_029_21|いいえ、全然怒ってませんよ♪
901_02_01_045_21|なるほど。それなら問題なさそうですね。　みんなで好きなものを焼きながら、歓談が可能です
901_02_01_049_21|そうですね、琴里の言う通りです。　あんまりゆったり歩いていたら、始業に遅れてしまうかも　しれません
901_02_01_060_21|……じー…………
901_02_01_070_21|……なるほど。園神凜祢の事情は、だいたい理解しました
901_02_01_072_21|鞠亜、と呼んでいただいて結構です
901_02_01_074_21|はい。問題ありません
901_02_01_076_21|……そうなります。わたしは本来〈フラクシナス〉の人工知能　です。こうして人と変わらないだけのパーソナリティを有して　いますが、[人間*ホンモノ]ではありません
901_02_01_078_21|園神凜祢……あなたは、優しいのですね
901_02_01_080_21|それは、あの人……ですか？
901_02_01_082_21|そうですか。ふふ……
901_02_01_083_21|士道には関係……ないこともないですね
901_02_01_085_21|……ともかく、士道や園神凜祢の会話から状況は推測できました。　〈[凶禍楽園*エデン]〉と呼ばれる天使――あるいはそれに類似した　能力の発動がこの現象の鍵になっている可能性が高いのですね
901_02_01_086_21|いえ、ここが電脳空間でないことは間違いありません。　しかし、わたしたちが異常な状況にいるのは確かです。　解決するためには、情報が必要でしょう
901_02_01_087_21|とりあえずはいつも通り過ごせばいいのではないでしょうか。　まずはこの世界がどうなっているのかを確認するべきです。　もちろん、この用意された日常を逸脱しない範囲で、ですが
901_02_01_088_21|はい。この状況の中で過ごすうちにその意図は見えてくる　はずです。　何者かが鞠奈のように接触してこないとも限りません
901_02_01_090_21|奇遇ですね。わたしも、園神凜祢と同じです
901_02_01_092_21|わかりました。これからは凜祢と呼ばせてもらいます
901_02_01_094_21|はい。こちらこそ、よろしくお願いします、凜祢
901_02_02_002_21|……ふぅ。まったく、士道の計画性の無さには困ったものですね
901_02_02_004_21|二人とも、士道のことをちゃんとわかっているということです
901_02_02_015_21|二人とも、やめてください。　それは自分の価値を貶める行為となってしまう可能性が高いです
901_02_02_017_21|はい。自分の欲求を満たすために他人を排除するというのは、　一般的に見て良い行動とは言えません。逆に嫌われてしまう　可能性も多大にあります
901_02_02_021_21|だ、駄目です！　そろそろ授業が始まりますから、落ち着いて……
901_02_02_029_21|……士道、大変です。十香と折紙の言い争いがどうでもいい方向　に脱線しています。最初は凜祢の話だったのに、今はこしあん派　かつぶあん派かで争っています
901_02_02_037_21|さすがです。凜祢は手慣れていますね
901_02_02_038_21|十香や折紙の言うように、本当に強力な[恋敵*ライバル]ということですね。　ようやく、実感できました
901_02_02_039_21|いいえ、独り言です
901_02_02_040_21|はい、そうですね
901_03_05_004_21|士道、驚きすぎです
901_03_05_005_21|はい、わたしですよ。　いろいろと情報を共有していました
901_03_05_007_21|わたしも凜祢のことをいろいろ聞きました
901_03_05_008_21|士道の視線から、父性のようなものを感じます
901_03_05_010_21|……若干腑に落ちませんが、そうですね。　夕食の用意をする時間もありますから
901_03_05_012_21|つい最近のことなのに、なんだか懐かしい感じがします
901_03_05_013_21|はい。こうしてまた、自分の足でこの道を歩けるなんて、　考えていませんでしたから
901_03_05_014_21|言われなくてもわかっています。　士道は少し、過保護過ぎます
901_03_05_016_21|凜祢。その言葉は撤回してください
901_03_05_018_21|わたしは士道にとっての妹ではありません。絶対になりません。　そうですね、士道？
901_03_05_019_21|妹は大切な人になれても、彼女にはなれませんから
901_03_05_021_21|はい。わたしと士道はキスも済ませた関係ですから
901_03_05_023_21|……！？　凜祢、本当に――
901_03_05_025_21|え？
901_03_05_029_21|おかしくなんてありません
901_03_05_031_21|おかしくなんて、ありません。　好きな人と一緒にいたいと思うのは、当然のことです。　――それが、『愛』というものなのですから
901_03_05_037_21|はい。ふふふっ
901_03_05_040_21|…………………………
901_03_05_041_21|では行きましょうか、凜祢
901_03_05_044_21|醤油ならそこの売り場ですね。こだわりがなければ、　ライトバリューのものが安いようですが……
901_03_05_046_21|そうなのですか？
901_03_05_047_21|そうだったのですか……すみません、士道。　今まであまり気にしたことがありませんでした
901_03_05_048_21|なるほど。これでまた一つ、士道のことを知ることができました
901_03_05_050_21|なんだか凜祢に言われると負けた気がします
901_03_05_052_21|果物なども用意した方がいいかもしれませんね
901_03_05_053_21|フルーティな野菜の定番と言えばトマトですね。　野菜のカテゴリーながら、デザートとして使用されることも多い　です。また、色素成分のリコピンには様々な効能があります
901_03_05_055_21|ですが先程凜祢自身が言ったように、桃の旬は夏場です。　今の時期では本来の味が出ていないと考えます。　ここは、やはりトマトかと
901_03_05_057_21|凜祢、それならフルーツトマトもあります。　果物に引けをとらない甘さを味わえますよ
901_03_05_059_21|士道は新しいものを試してみるのが好きですから、問題ないかと。　フルーツトマトをちゃんと食べたことはなかったはずですし。　そうですよね、士道？
901_03_05_060_21|む………………
901_03_05_061_21|そうですよね。士道ならそう言ってくれると信じていました
901_03_05_065_21|むむ……
901_03_05_072_21|それなら、わたしが最適なレシピを考えておきます。　どれが残ってもいいように、あらかじめいくつかパターンを　想定した方が良さそうですね
901_03_05_074_21|そうですね。凜祢がいれば心強いです
901_03_05_076_21|ないでしょうね
901_03_05_078_21|はい。私たちは士道よりも美味しい食事を用意できます
901_03_05_079_21|ふふ……そんな捨てられた子犬のような顔を　しないでください、士道。　何も意地悪をしているわけではありません
901_03_05_081_21|この世界で過ごすための手伝いという意味です。　士道はいろいろなものを一人で背負ってしまいがちですから
901_03_05_083_21|わたしたち以外は異変が起きていることにすら気づいていない。　だからもっと、頼ってくれていいんですよ？
901_03_05_085_21|……！　士道、突然どうしたのですか？
901_04_01_008_21|では、試しに耶倶矢を鉄板に上げてみましょうか。　折紙、耶倶矢を縛ってください
901_04_01_011_21|それなら邪魔せずにあっちで他の人と戯れていてください。　油を引けませんので
901_04_01_014_21|ご自由にどうぞ
901_04_01_036_21|……そうですね。凜祢も、私と気軽に話してくれると嬉しいです
901_04_01_069_21|任せてください。わたしも手伝います
901_04_01_071_21|士道は、優しいですね
901_04_01_072_21|でも、女心は全然わかっていませんね
901_04_01_073_21|いいえ、なんでもありません。　それより、凜祢の代わりをしっかり果たしましょう
901_04_01_083_21|士道……嬉しそうですね
901_04_01_084_21|はい。女の子を見ながらにやついている士道は、　とても幸せそうです
902_01_02_005_21|わたしも手伝っていたのですが、作るのが楽しくなって　しまって……不注意でした
902_01_02_007_21|はい。今日から使う買い置き分が既に冷蔵庫にあったので、　捨てるのも勿体無いと……
902_01_02_020_21|わたしも感謝します。　味は保証しますので、好きなだけ食べてくださいね
902_01_02_040_21|ありがとうございます、凜祢。　士道の真似だけではなく、個性が出せるようになれればと　こっそり練習を重ねています
902_01_02_042_21|凜祢はずるいですね
902_01_02_044_21|どうしてかは教えてあげません。　凜祢はもう少し、自分のことを分析した方が良いのでは？
902_01_02_050_21|気がきかずにすみません。　狂三と折紙はすぐに呼び出すのは難しいかと……
902_01_02_053_21|はい、そうします。　そういえば折紙の連絡先は聞いていませんでしたね。　あとで教えて貰えますか？
902_01_02_068_21|二人とも、落ち着いてください。　では、今度はホットケーキパーティなんてどうでしょう？　それなら午後のおやつとして、学校のあとでも大丈夫ですし
902_01_02_073_21|それを指摘されてもどうしようもありませんね、凜祢
902_01_02_075_21|はい、私も楽しみです。来週あたりがいいかもしれませんね
902_01_02_079_21|士道、少しいいですか？
902_01_02_080_21|今日は凜祢と少し、寄り道をすることになりました。　ですから、家に帰ってもわたしや凜祢はいませんので
902_01_02_081_21|はい、いろいろなことを凜祢に教えてもらおうかと
902_01_02_082_21|わかりました。何かないとも限りません。　士道も気をつけて
902_03_01_001_21|普段賑やかですから、二人だと少し寂しく感じますね
902_03_01_002_21|免許皆伝？　いったいなんの話ですか、士道？
902_03_01_003_21|そうでしょうか。　少なくとも、士道は凜祢の料理の方が好きなのでは？
902_03_01_004_21|少しアレンジしているとはいえ、わたしの料理は士道の　模造品です。　それを評価してもらうのは、少し気後れしてしまいます
902_03_01_005_21|ありがとうございます、士道。　では次も士道に美味しいと言ってもらえるよう、　精一杯頑張りますね
902_03_01_006_21|わかりました。どこに行くかは聞きませんが……　気をつけてくださいね
902_03_01_010_21|凜祢、大丈夫ですよ。本当に散歩ですから。　ちょっと食べ過ぎてしまったみたいです
902_03_01_014_21|ふふ……間一髪、でしたね
902_03_01_015_21|いえ、なんでもありません
902_03_01_016_21|……そうですね。ではプリンを買ってきてもらえますか？
902_03_01_017_21|はい。それでは、いってらっしゃい。　――また、あとでね
903_01_01_003_21|士道。おはようございます。　朝食の準備はできていますよ
903_01_01_005_21|はい、わたしも同じです。ですが士道？　わたしや凜祢がいなかったときのことも考えて、　もう少し早く起きた方がいいですよ？
903_01_01_007_21|別に責めているわけではありませんよ。　もう少し、しっかりして欲しいということです
903_01_01_009_21|それでも構いません。大事なことですからね
903_01_01_015_21|そうですよ、凜祢。それならわたしもいますから
903_01_01_017_21|凜祢がそうしたいというなら、尊重します
903_01_01_026_21|そうですね。いくら琴里でも、一日二日で　どうにかなるようなものではないです
903_01_01_029_21|ふふふ……
903_01_01_030_21|士道…………
903_01_01_036_21|……気づかれていましたか
903_01_01_037_21|すみません、士道。　少し士道の様子が気になって……。　見つかるつもりはなかったのですが
903_01_01_038_21|そのままの意味です
903_01_01_039_21|初めましてになりますね、凜緒。　わたしは或守鞠亜といいます
903_01_01_041_21|そうですか。それは嬉しいです。　あなたのような可愛い女の子にそう言われるのは、　光栄ですね
903_01_01_043_21|ええ、とっても。抱きしめてしまいたいです
903_01_01_045_21|いいえ、わたしは本当のことを言っただけですから。　しかし、お姉ちゃんと呼ばれるのは、どこかくすぐったいですね
903_01_01_047_21|くすっ……なるほど、確かに一理ありますね
903_01_01_048_21|先程の士道の話を、聞いていましたから。　鞠奈がこの子の面倒を見ているんですよね
903_01_01_049_21|ええ、わかっています。ですが、その話はあとで
903_01_01_050_21|ところで凜緒、士道とどこに行くつもりですか？
903_01_01_052_21|一番大事な……もの、ですか
903_01_01_053_21|そうですか。それは、形のあるものなのですか？
903_01_01_055_21|途方もなさそうですね……では、わたしもお手伝いして　いいですか？
903_01_01_058_21|ええ。探しもの、必ず見つけましょう
903_01_01_062_21|凜緒の気になるところをとにかく探すしかない……　そういうことなら、これは途方もない探しものですね
903_01_01_064_21|おもちゃ屋、ですか。あのお店はショーウィンドウに飾られた、　大きなうさぎのぬいぐるみが特徴的ですね
903_01_01_066_21|凜緒、引っ張らないでください。　ちゃんと一緒に行きますから
903_01_01_068_21|最近はどのメーカーもおもちゃが多機能化していますからね。　ネットを経由したデータ更新やゲーム筐体との連動なども　発展しているようです
903_01_01_070_21|そうですね。なりきりアイテムのようなものでしょう。　付属のアクセサリーが他のおもちゃやゲーム筐体と連動している　ようですね
903_01_01_072_21|こら、だめですよ凜緒。　見本品とはいえ、売り物で遊んではいけません
903_01_01_074_21|はい、そうしてください
903_01_01_076_21|それはトレーディングカードゲームと言います。　色々な種類のカードを集めて、お友達と対戦して遊ぶおもちゃで　すね
903_01_01_078_21|え、ええと……わかりました。一回だけですよ？　わたしのターン、ドロー！
903_01_01_080_21|そうですよ、士道。凜緒のこんなに可愛い姿を見れるんですから、　文句を言うのは間違っています
903_01_01_081_21|冗談です。でも凜緒がこんなに楽しそうなのだから、　それでいいのではないですか？
903_01_01_082_21|ふふ……さすがに騙されてくれませんでしたか
903_01_01_085_21|そうですね。士道は面白いです。　見ているだけでも飽きないくらい
903_01_01_089_21|では入りましょうか。　外から見る限り、席はまだ空いているようですし
903_01_01_090_21|あの店舗なら覚えていますから。　それに、この世界で凜緒の邪魔は入らないでしょう
903_01_01_093_21|どれでも、好きなものを選んでいいですから、　ゆっくり考えて大丈夫ですよ
903_01_01_096_21|では、わたしと士道のメニューも選んでください。　そうしたら、三種類まで頼むことができますよ？
903_01_01_098_21|ハンバーグセットにオムライス、スパゲティミートソースですね。　凜緒の食べる量を考えると少し不安ですが……
